"Gene ID"	"Fraction of isolates with >0.75 of gene missing"	"Nucleotide Diversity 1990"	"Nucleotide Diversity 2015"	"Watterson's Theta 1990"	"Watterson's Theta 2015"	"Tajima's D 1990"	"Tajima's D 2015"	"Fst 1990 vs 2015"	"Composite Likelihood Ratio 1990"	"Composite Likelihood Ratio 2015"
"ID=PCA_SD_06296"	0	0.01464	0.01485	0.00835	0.0078	2.23966	2.66456	0.03249	69.90616	64.25067
"ID=PCA_SD_06329"	0.7	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_06366"	0.93	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_06384"	0	0.00346	0.00183	0.00195	0.00168	1.97484	0.22285	0.12621	39.05224	30.25339
"ID=PCA_SD_06434"	0	0.00047	0.00016	0.00104	0.00104	-0.70523	-1.08393	0	6.54417	4.50089
"ID=PCA_SD_06457"	0	0.00457	0.00315	0.0027	0.00195	2.11738	1.78374	0.15583	58.33376	66.56261
"ID=PCA_SD_06484"	0	0.00556	0.00311	0.00258	0.00258	2.5273	0.45684	0.08603	32.27196	25.50779
"ID=PCA_SD_06485"	0	0.0034	0.00359	0.00335	0.00279	0.033	0.66961	-0.00537	21.91516	21.43581
"ID=PCA_SD_06503"	0	0.00382	0.00701	0.00196	0.00392	1.62315	1.725	0.13404	11.78896	19.87167
"ID=PCA_SD_06581"	0	0.00049	0.00035	0.00022	0.00034	2.01944	0.06151	NA	13.16416	11.67988
"ID=PCA_SD_06588"	0	0.00149	0.00165	0.00123	0.00148	0.49118	0.28326	NA	16.50102	21.28764
"ID=PCA_SD_06591"	0	0.00375	0.00337	0.00175	0.00175	3.27451	2.65363	NA	56.21085	46.92906
"ID=PCA_SD_06613"	0	0.00054	9e-05	0.00055	0.00055	-0.04309	-1.44362	NA	9.45079	9.00179
"ID=PCA_SD_06625"	0	0.00155	0.00093	0.00136	0.00045	0.27933	1.3506	NA	15.56428	8.55195
"ID=PCA_SD_06633"	0	0.00016	0.00047	0.00102	0.00041	-1.97233	0.26089	NA	17.30369	10.94303
"ID=PCA_SD_06657"	0.18	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_06659"	0	0.00754	0.00915	0.00428	0.00397	2.24661	3.79054	NA	66.64468	77.51186
"ID=PCA_SD_06742"	0	0.00883	0.00384	0.00511	0.00584	1.86422	-0.90417	0.14367	43.18558	41.48152
"ID=PCA_SD_06743"	0	0.01317	0.00466	0.00661	0.00661	2.9212	-0.868	0.12996	106.08843	75.85968
"ID=PCA_SD_06764"	0	0.00676	0.0064	0.00726	0.00427	-0.20818	1.37918	0.01527	30.76958	34.41698
"ID=PCA_SD_06790"	0	0.00154	0.00015	0.00137	0.00034	0.2843	-0.70523	0.16643	15.97527	6.01666
"ID=PCA_SD_06800"	0	0.00035	0	0.00048	NA	-0.40885	NA	NA	5.59648	NA
"ID=PCA_SD_06812"	0	0.00309	0.00193	0.00438	0.00239	-0.94546	-0.54929	NA	50.03649	28.90135
"ID=PCA_SD_06912"	0	0.0118	0.00163	0.00841	0.00673	1.11507	-1.99817	0.21713	44.88513	30.94349
"ID=PCA_SD_06933"	0	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_07020"	0	0.00231	0.00119	0.00158	0.00142	1.27996	-0.44098	0.07206	43.82528	43.15421
"ID=PCA_SD_07065"	0	0.00116	0.00163	0.00111	0.00095	0.10425	1.43291	0.16897	16.37625	18.2119
"ID=PCA_SD_07077"	0	0.00103	0.00901	6e-04	0.00562	1.12421	1.70708	0.07858	7.57774	33.92167
"ID=PCA_SD_07086"	0.02	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_07125"	0	0.00286	6e-04	0.00211	7e-04	0.87653	-0.25024	0.21016	24.80525	10.93109
"ID=PCA_SD_07143"	0	0.00084	0.00079	0.00055	0.00055	0.6642	0.53909	-0.01604	6.65069	6.66487
"ID=PCA_SD_07174"	0	0.00066	0.00087	0.00099	0.00099	-0.65643	-0.22601	-0.01618	9.46687	11.40238
"ID=PCA_SD_07259"	0	0.00459	0.00383	0.00262	0.00262	2.18639	1.3345	NA	54.22354	71.00115
"ID=PCA_SD_07321"	0	7e-04	0	0.00039	NA	0.99895	NA	NA	6.9687	NA
"ID=PCA_SD_07322"	0	0.00114	0.00195	0.00156	0.00273	-0.59708	-0.73007	NA	17.34475	23.43547
"ID=PCA_SD_07353"	0	0.01159	0.01076	0.00709	0.006	1.84564	2.23832	NA	54.16434	66.86546
"ID=PCA_SD_07500"	0	0.00081	0.00164	0.00086	0.00122	-0.13865	0.81112	0.00849	13.31521	19.65842
"ID=PCA_SD_07622"	0	0.01094	0	0.0063	NA	2.23648	NA	NA	90.35222	NA
"ID=PCA_SD_07641"	0	0.00345	0.00117	0.00289	0.00157	0.56043	-0.72255	NA	41.43613	28.28791
"ID=PCA_SD_07724"	0	0.00103	0.00127	0.00054	0.00081	1.54884	1.1419	0.03232	11.91114	10.67493
"ID=PCA_SD_07729"	0	0.00235	0.00206	0.00225	0.00135	0.11916	1.29183	0.02961	24.24614	23.89885
"ID=PCA_SD_07763"	0	0.00521	0.00726	0.00493	0.00493	0.14812	1.24734	0.03304	17.52742	28.51041
"ID=PCA_SD_07785"	0	0.01464	0.00784	0.00938	0.00782	1.82016	0.00967	NA	60.18734	73.9697
"ID=PCA_SD_07849"	0	0.00911	0.00128	0.00609	0.00141	1.59919	-0.18942	NA	50.14063	11.13623
"ID=PCA_SD_07877"	0	0.00472	0.00302	0.0047	0.00272	0.0142	0.31344	NA	51.20843	35.07294
"ID=PCA_SD_07897"	0	0.00469	0.00368	0.00496	0.00276	-0.16711	0.9261	NA	41.82967	26.84468
"ID=PCA_SD_07918"	0.23	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_07929"	0	0.00148	0.00097	0.00149	0.00149	-0.01342	-0.69128	NA	12.65218	11.32344
"ID=PCA_SD_07994"	0	0.0049	0.00386	0.00363	0.00272	0.9293	1.02539	-0.0047	30.88971	33.59063
"ID=PCA_SD_08058"	0	0.00027	0.00055	2e-04	0.00061	0.40722	-0.18594	-0.01695	7.75374	13.60568
"ID=PCA_SD_08117"	0	0.00401	0.00296	0.00266	0.00222	1.2476	0.78651	NA	21.54879	22.06847
"ID=PCA_SD_08130"	0	0.00671	0.00626	0.00307	0.00307	3.71505	3.25835	NA	146.73244	101.16997
"ID=PCA_SD_08166"	0	0.00108	0	0.00187	NA	-1.04352	NA	0	23.07746	NA
"ID=PCA_SD_08173"	0	0.00554	0.00272	0.00885	0.00272	-1.08793	-0.00326	0.04764	34.56776	15.6019
"ID=PCA_SD_08250"	0	0.00013	0.00036	0.00041	0.00082	-0.8912	-0.95726	NA	5.71282	7.83401
"ID=PCA_SD_08269"	0	0.00039	0.00072	0.00107	0.00086	-1.49366	-0.34546	NA	16.35458	18.48194
"ID=PCA_SD_08298"	0	0.0069	0.01017	0.00491	0.00546	1.0958	2.39114	NA	28.92599	42.8959
"ID=PCA_SD_08336"	0	0.00405	0.00054	0.00315	0.00225	0.73012	-1.76929	NA	24.68066	20.03683
"ID=PCA_SD_08340"	0	0.00097	0.00045	0.00041	0.00041	1.72931	0.12319	NA	7.95329	7.33867
"ID=PCA_SD_08423"	0	0.00097	9e-04	0.00068	0.00051	0.93707	1.5392	0.03423	20.15793	15.79719
"ID=PCA_SD_08424"	0	0.00202	0.00161	0.00153	0.00102	0.85553	1.40401	0.02608	29.05006	36.63577
"ID=PCA_SD_08537"	0	0	0.00185	NA	0.00185	NA	-0.00122	NA	NA	11.64444
"ID=PCA_SD_08558"	0	0.0012	0.00216	0.00091	0.00116	0.63795	1.70301	NA	13.30137	14.69392
"ID=PCA_SD_08581"	0	0.00057	0.00016	0.00028	0.00028	1.3506	-0.52602	NA	7.83242	7.03727
"ID=PCA_SD_08590"	0	0.00449	0.00572	0.00224	0.00252	2.64634	3.43585	NA	53.71172	59.36821
"ID=PCA_SD_08631"	0	0.0111	0.00712	0.00759	0.00536	1.51377	1.03861	0.1177	68.86321	109.78733
"ID=PCA_SD_08694"	0	0.0027	0.00225	0.00181	0.00121	1.47384	2.40719	NA	49.94185	58.83967
"ID=PCA_SD_08708"	0	0.00178	0.00199	0.00177	0.00106	0.00758	1.7396	NA	16.17335	14.62673
"ID=PCA_SD_08824"	0	0.00374	0.00228	0.00279	0.00172	0.99198	0.86153	NA	37.28082	25.34121
"ID=PCA_SD_08841"	0	0.00489	0.00367	0.00311	0.00311	1.25483	0.39214	NA	26.71584	18.64626
"ID=PCA_SD_08851"	0	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_08853"	0	0.00094	0.00023	0.00078	0.00078	0.41002	-1.38831	NA	12.95073	12.21997
"ID=PCA_SD_08885"	0	0.00469	0.00477	0.00269	0.00202	1.62579	2.71195	-0.00011	16.32865	13.76962
"ID=PCA_SD_08911"	0	0.00352	0.00287	0.00374	0.00272	-0.16778	0.14812	-0.0041	31.91124	35.34628
"ID=PCA_SD_08963"	0	0.00162	0.00221	0.00264	0.00185	-1.07519	0.49445	NA	45.67253	41.4571
"ID=PCA_SD_09134"	0	0.00037	0.00073	0.00033	0.00067	0.12319	0.14605	-0.01148	6.6269	9.55663
"ID=PCA_SD_09321"	0	0.00064	0.00079	0.00101	4e-04	-0.84394	1.63891	NA	14.80586	13.24471
"ID=PCA_SD_09322"	0	0.00079	0.00022	0.00087	0.00065	-0.206	-1.29943	NA	15.07467	11.28841
"ID=PCA_SD_09379"	0	7e-04	0.00024	0.00107	0.00063	-0.75237	-1.25553	-0.0273	14.42587	10.25968
"ID=PCA_SD_09388"	0	0.00396	0	0.00331	NA	0.53438	NA	0	36.78578	NA
"ID=PCA_SD_09389"	0	0.00213	0	0.00302	NA	-0.77296	NA	0	18.32454	NA
"ID=PCA_SD_09395"	0	0.0028	9e-04	0.00266	0.00201	0.15856	-1.7114	-0.00216	34.01114	36.54491
"ID=PCA_SD_09402"	0.02	0.00171	0	0.00138	NA	0.414	NA	0	7.50263	NA
"ID=PCA_SD_09449"	0	0.00515	0.00515	0.00306	0.00306	1.84119	1.84912	NA	27.81281	28.87624
"ID=PCA_SD_09451"	0	0.00705	0.00646	0.0041	0.00342	2.05858	2.45972	NA	43.15827	36.74081
"ID=PCA_SD_09455"	0	0.00583	0.00596	0.00477	0.00341	0.65134	2.06866	NA	27.60911	40.36238
"ID=PCA_SD_09456"	0	0.00149	0.00091	0.00137	0.00069	0.19659	0.55811	NA	16.08413	9.72027
"ID=PCA_SD_09530"	0.1	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_09540"	0	0.00567	0.00026	0.00361	5e-04	1.73043	-1.00369	0.01812	74.95381	14.07454
"ID=PCA_SD_09549"	0	0.00209	0	0.00177	NA	0.36297	NA	0	12.37062	NA
"ID=PCA_SD_09552"	0	0.00359	0	0.0033	NA	0.21422	NA	0.10345	20.18074	NA
"ID=PCA_SD_09742"	0	0.00184	0.00215	0.00157	0.00157	0.41701	0.89487	NA	28.46474	24.57358
"ID=PCA_SD_09759"	0.1	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_09803"	0	0.01088	0.00998	0.00669	0.00509	1.99131	2.96473	NA	83.03514	59.22555
"ID=PCA_SD_09846"	0	0.00469	0.00531	0.00341	0.00284	1.07563	2.40281	0.0276	39.05874	37.55975
"ID=PCA_SD_09847"	0	0.00194	0.00208	0.00186	0.00103	0.11172	2.37634	0.05164	22.19336	18.82533
"ID=PCA_SD_09906"	0	0.00702	0.00662	0.00401	0.00401	1.9152	1.66029	0.01083	33.08023	30.89661
"ID=PCA_SD_10016"	0	0.00038	0	0.00142	NA	-1.88948	NA	0	22.85127	NA
"ID=PCA_SD_10029"	0	0.00179	0.00464	0.00177	0.002	0.02566	2.8695	0.03017	14.34563	19.05897
"ID=PCA_SD_10176"	0	0.00342	0.00074	0.00182	0.00129	2.05025	-1.00309	NA	26.26667	13.77927
"ID=PCA_SD_10184"	0	0.00247	0.00037	0.00171	0.00076	1.17435	-1.19598	NA	21.06171	15.50959
"ID=PCA_SD_10264"	0	0.00254	0.00176	0.0023	0.00147	0.26768	0.40131	-0.01055	19.73649	15.14062
"ID=PCA_SD_10320"	0	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_10361"	0	0.00174	0.00129	0.00163	0.0013	0.1614	-0.02195	NA	16.82057	15.47033
"ID=PCA_SD_10456"	0	0.00132	0	0.005	NA	-2.49921	NA	NA	91.40508	NA
"ID=PCA_SD_10577"	0	0.00124	0	0.00124	NA	0.0087	NA	0	8.54542	NA
"ID=PCA_SD_10615"	0	0.00272	0.00347	0.00214	0.00197	0.80038	2.18137	NA	43.31025	54.51468
"ID=PCA_SD_10654"	0	0.01448	0.01224	0.00628	0.00628	3.88743	2.82292	0.27586	117.95292	101.09747
"ID=PCA_SD_10676"	0	0.00219	0.00275	0.00169	0.00169	0.69422	1.45837	0.22696	18.38819	23.55256
"ID=PCA_SD_10708"	0	0.00548	0.00133	0.0045	0.00307	0.6843	-1.69198	NA	60.30472	43.14945
"ID=PCA_SD_10770"	0	0.00314	0.002	0.00243	0.00135	0.79844	1.13228	NA	32.32495	24.91585
"ID=PCA_SD_10868"	0	0.01075	0.00772	0.00733	0.00611	1.33758	0.72911	0	41.05266	46.38182
"ID=PCA_SD_10870"	0	0.00237	0.00064	0.00318	0.00122	-0.7401	-1.11465	0.25672	26.88354	20.99557
"ID=PCA_SD_10919"	0	0.00289	0.00089	0.0015	0.0015	1.83718	-0.81326	0	23.08578	21.11181
"ID=PCA_SD_10938"	0	0.00116	0.00117	0.00217	0.00217	-1.23003	-1.22481	0	30.67009	47.73346
"ID=PCA_SD_11070"	0	0.00169	0.00039	0.00133	0.001	0.71554	-1.49226	NA	28.25094	24.76098
"ID=PCA_SD_11134"	0	0.00312	0.00316	0.00209	0.00167	1.16058	1.95217	-0.01657	18.57282	23.12963
"ID=PCA_SD_11154"	0	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_11224"	0	0.00486	0.00255	0.00285	0.00266	2.09999	-0.1197	NA	48.88274	34.73546
"ID=PCA_SD_11226"	0	0.00281	0.00518	0.00391	0.00247	-0.86349	3.15864	NA	61.80807	75.07367
"ID=PCA_SD_11228"	0	0.00243	0.00017	0.00501	0.00109	-1.6231	-1.97233	NA	65.68565	22.50447
"ID=PCA_SD_11230"	0	0.00297	0.00045	0.00232	0.00109	0.85331	-1.54545	NA	30.36622	39.09257
"ID=PCA_SD_11237"	0	0.00371	0.00454	0.0021	0.0021	1.67611	2.5388	NA	22.63364	23.99605
"ID=PCA_SD_11247"	0	0.00186	0.00061	0.0028	0.00052	-1.00595	0.33509	NA	34.6379	11.36673
"ID=PCA_SD_11249"	0	0.00097	0.00085	0.00148	0.00099	-0.85799	-0.30377	NA	20.37813	22.01824
"ID=PCA_SD_11259"	0	0.00464	0.00059	0.00412	0.00027	0.37218	1.48585	0.10029	87.83598	6.74831
"ID=PCA_SD_11261"	0	0.00461	0.00176	0.00467	0.00082	-0.04357	2.23797	0.13087	53.56098	15.21301
"ID=PCA_SD_11316"	0	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_11442"	0	0.00115	0	0.00076	NA	0.6642	NA	0.18644	6.65069	NA
"ID=PCA_SD_11482"	0	0.00228	0	0.00272	NA	-0.35697	NA	0.18644	14.67767	NA
"ID=PCA_SD_11487"	0	0.00666	0.003	0.00664	0.00242	0.00592	0.52442	0.09678	26.23566	16.52461
"ID=PCA_SD_11510"	0	0.00816	0.00961	0.00988	0.00732	-0.55891	0.97204	NA	45.83054	59.82304
"ID=PCA_SD_11530"	0	0.00152	0.0015	0.00111	0.00111	0.80192	0.76166	NA	25.41324	26.3759
"ID=PCA_SD_11607"	0	0	0.00039	NA	0.00054	NA	-0.4754	NA	NA	9.73022
"ID=PCA_SD_11687"	0	0.01205	0.00901	0.00531	0.00531	3.73159	2.04707	0.06566	80.80454	87.89264
"ID=PCA_SD_11717"	0	0.00142	0.00105	0.00097	0.00097	0.77427	0.12579	0.01089	10.86756	11.53726
"ID=PCA_SD_11735"	0	9e-05	0.00117	0.00034	0.0037	-1.147	-1.99347	NA	5.71282	47.15584
"ID=PCA_SD_11755"	0	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_11764"	0	0.00048	0.00074	0.00125	0.00106	-1.25553	-0.51143	NA	9.83419	10.56109
"ID=PCA_SD_11946"	0	0	5e-05	NA	0.00034	NA	-1.08393	0.00043	NA	4.50089
"ID=PCA_SD_12080"	0	0.00225	0.00145	0.0017	0.00141	0.79671	0.06173	NA	18.6	24.07686
"ID=PCA_SD_12097"	0.12	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_12099"	0.07	0.0029	0	0.00385	NA	-0.79358	NA	NA	32.75126	NA
"ID=PCA_SD_12121"	0	0.00392	0.00228	0.00229	0.00254	2.50219	-0.33493	NA	143.11338	125.71089
"ID=PCA_SD_12123"	0	0.00032	0.00399	0.00094	0.00239	-1.53889	1.81978	NA	14.50051	25.77253
"ID=PCA_SD_12192"	0	0.00322	0.00343	0.00243	0.00162	0.87139	2.73403	0.01657	46.75364	37.53113
"ID=PCA_SD_12204"	0	0.00092	0.00079	0.00084	0.00126	0.16407	-0.73833	-0.00779	13.25379	10.97457
"ID=PCA_SD_12337"	0	0.00397	0.00082	0.00308	0.00081	0.78258	0.05032	NA	26.9665	9.79874
"ID=PCA_SD_12471"	0	0.00136	0.00229	0.00132	0.00196	0.07477	0.42712	0.04664	20.48783	36.0271
"ID=PCA_SD_12571"	0.43	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_12658"	0	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_12676"	0.42	4e-04	0	0.00029	NA	0.60314	NA	NA	10.34097	NA
"ID=PCA_SD_12695"	0	0.00538	0.00761	0.00437	0.00322	0.70771	4.01096	NA	63.14029	79.38054
"ID=PCA_SD_12907"	0	0	0.00124	NA	0.00077	NA	0.78254	0.02023	NA	7.25607
"ID=PCA_SD_12933"	0	0.00175	0	0.00166	NA	0.15058	NA	NA	29.66162	NA
"ID=PCA_SD_12991"	0	0.0031	0.00089	0.00141	0.00176	2.62507	-1.16018	NA	32.78827	27.64595
"ID=PCA_SD_13004"	0	0.00271	0.00236	0.00215	0.00215	0.7485	0.27627	NA	54.71391	53.78671
"ID=PCA_SD_13027"	0	6e-05	0	0.00041	NA	-1.08393	NA	NA	3.46074	NA
"ID=PCA_SD_13086"	0	0	0.00144	NA	0.0011	NA	0.61913	NA	NA	16.0406
"ID=PCA_SD_13117"	0	0.00243	0.00169	0.00123	0.00082	1.92083	1.79878	NA	19.36315	17.1039
"ID=PCA_SD_13206"	0	0.00095	0.00077	0.00042	0.00042	2.14103	1.39573	NA	13.24869	12.12319
"ID=PCA_SD_13315"	0	0.00062	0.00101	0.00037	0.0011	0.89413	-0.15457	NA	6.36449	11.45898
"ID=PCA_SD_13386"	0	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_13392"	0.05	0.00046	0	0.00049	NA	-0.08237	NA	0	6.6269	NA
"ID=PCA_SD_13662"	0.48	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_13712"	0	0.00167	0.00233	0.00152	0.00114	0.2196	2.06372	NA	13.46842	15.90183
"ID=PCA_SD_13802"	0	0.00644	0.00179	0.00529	0.00397	0.6725	-1.63653	NA	63.92205	90.24983
"ID=PCA_SD_13983"	0	0.00499	6e-05	0.00522	4e-04	-0.12815	-1.08393	NA	37.15813	4.50089
"ID=PCA_SD_13999"	0.03	0	0.00055	NA	0.00097	NA	-0.94647	NA	NA	14.59339
"ID=PCA_SD_14108"	0	0.00158	0.00124	0.001	8e-04	1.34885	1.20594	NA	20.61803	15.62581
"ID=PCA_SD_14120"	0	0.00378	0.00415	0.00302	0.00302	0.61981	0.91752	NA	22.71112	24.43183
"ID=PCA_SD_14125"	0	0.00095	0.00044	0.00115	0.00069	-0.39972	-0.72439	NA	14.14211	16.36115
"ID=PCA_SD_14137"	0	0.00649	0.00334	0.00409	0.00409	1.49965	-0.47035	NA	27.98896	22.2573
"ID=PCA_SD_14188"	0	0.01642	0.01884	0.0082	0.0082	2.94891	3.81917	NA	89.87499	98.06965
"ID=PCA_SD_14198"	0	0.00324	0.00397	0.00207	0.00207	1.22751	1.99674	NA	21.81786	19.6579
"ID=PCA_SD_14331"	0	0.00121	0.00095	0.00074	5e-04	1.24123	1.58262	0.24138	15.69515	16.04256
"ID=PCA_SD_14343"	0	0.00096	0.00052	0.0014	0.00053	-0.82597	-0.02736	0.17324	22.47636	17.64291
"ID=PCA_SD_14451"	0	0.00598	0.00557	0.00347	0.00278	1.69094	2.19804	0.33131	25.73975	28.04132
"ID=PCA_SD_14455"	0	0.00178	0.00195	0.00101	0.00101	1.51481	1.84938	0.12594	15.53975	15.03041
"ID=PCA_SD_14478"	0	0.00169	0.00146	0.00223	0.00223	-0.65666	-0.935	NA	35.93715	34.13838
"ID=PCA_SD_14614"	0	0.00057	6e-05	0.00071	0.00035	-0.32229	-1.08393	0.11176	10.69397	4.50089
"ID=PCA_SD_14865"	0	0.00195	0.00271	0.00164	0.00143	0.50786	2.27784	NA	24.34671	30.40739
"ID=PCA_SD_14954"	0	0.00356	0.00288	0.00298	0.00191	0.58038	1.36541	NA	55.00724	44.92364
"ID=PCA_SD_15019"	0	0.00067	0.00076	0.00102	4e-04	-0.67734	1.40811	NA	10.16037	6.47621
"ID=PCA_SD_15024"	0	0.00067	0	0.00074	NA	-0.18942	NA	NA	12.01082	NA
"ID=PCA_SD_15041"	0	0.00338	0.00132	0.00369	0.001	-0.24429	0.74007	NA	27.50962	16.6631
"ID=PCA_SD_15166"	0	0	0.00062	NA	0.00039	NA	0.93968	NA	NA	7.50832
"ID=PCA_SD_15177"	0	7e-04	0.00025	0.00133	0.00033	-1.21719	-0.40885	NA	19.29046	5.46554
"ID=PCA_SD_15188"	0	0.00443	0.00703	0.00347	0.00344	0.95247	3.24738	0.01853	81.58479	92.52952
"ID=PCA_SD_15267"	0	0.00025	0.00049	0.00098	0.00033	-1.47718	0.6642	NA	11.06729	7.10579
"ID=PCA_SD_15320"	0	0.01582	0.01736	0.00809	0.00809	3.07752	3.69047	NA	113.35758	101.14304
"ID=PCA_SD_15323"	0	0.00592	0.0076	0.00686	0.00343	-0.44452	3.6591	NA	76.12656	80.81472
"ID=PCA_SD_15364"	0	0.00644	0.00053	0.00365	0.00072	2.18955	-0.53731	0.21907	51.80771	10.93109
"ID=PCA_SD_15403"	0	0.00292	0.00046	0.00163	0.00027	1.94875	0.89413	NA	34.42888	8.29319
"ID=PCA_SD_15404"	0	0.00064	0	0.00118	NA	-1.12335	NA	NA	18.51994	NA
"ID=PCA_SD_15437"	0	0.00099	0	0.00179	NA	-0.97092	NA	NA	22.72737	NA
"ID=PCA_SD_15443"	0	0.00644	0.00611	0.00605	0.00538	0.17358	0.36014	0.02215	26.19626	25.40196
"ID=PCA_SD_15576"	0	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_15591"	0	0.00395	0.00192	0.00319	0.00228	0.61277	-0.36157	NA	22.86612	23.66823
"ID=PCA_SD_15653"	0	0.00218	0.00163	0.0025	0.00156	-0.33501	0.09495	NA	32.76684	22.73533
"ID=PCA_SD_15697"	0	0.00574	0.00528	0.00631	0.0028	-0.24194	1.93204	NA	31.47008	25.22177
"ID=PCA_SD_15698"	0	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_15703"	0	0.00103	0.00017	0.00111	0.00037	-0.14063	-0.70523	NA	12.94488	6.01666
"ID=PCA_SD_15709"	0	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_15752"	0	0.00032	0.00014	0.00044	0.00052	-0.35357	-1.147	NA	6.66441	5.995
"ID=PCA_SD_15761"	0	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_15786"	0	0.00237	0.00173	0.00118	0.00118	2.07439	0.95509	0.18014	13.62896	16.58638
"ID=PCA_SD_15788"	0	0.00224	0.00182	0.00114	0.00114	1.98112	1.23492	0.17578	16.02638	15.01664
"ID=PCA_SD_15968"	0	0.00028	0.00043	0.00063	0.00063	-0.95726	-0.54295	NA	7.35256	8.10525
"ID=PCA_SD_15976"	0	0.00291	0.00299	0.00205	0.00205	1.30632	1.43709	NA	42.43207	53.26868
"ID=PCA_SD_16008"	0	0.0017	0.00697	0.0021	0.00432	-0.56361	1.85788	0.03641	22.65299	49.94768
"ID=PCA_SD_16032"	0	0.00396	0.00396	0.00179	0.00179	2.40874	2.41746	NA	16.86637	16.15279
"ID=PCA_SD_16040"	0.3	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_16055"	0	0.00406	0	0.00325	NA	0.65732	NA	0	36.41521	NA
"ID=PCA_SD_16092"	0	0.00077	0	0.00107	NA	-0.61146	NA	NA	15.40712	NA
"ID=PCA_SD_16165"	0	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_16251"	0	0.00083	0.0011	0.00073	0.00062	0.28351	1.33043	0.10075	15.50749	14.77492
"ID=PCA_SD_16343"	0	0.00549	0.00387	0.00396	0.0036	1.08393	0.20453	NA	31.25388	38.77782
"ID=PCA_SD_16467"	0	0.00513	0.0032	0.00388	0.00172	0.87694	1.86734	NA	27.38593	19.8028
"ID=PCA_SD_16471"	0	0.00158	0.00026	0.00085	0.00085	1.097	-0.8912	NA	7.85727	5.995
"ID=PCA_SD_16752"	0	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_16835"	0	0.0039	0.00507	0.00257	0.0022	1.32555	3.20649	0.21186	38.98945	45.32855
"ID=PCA_SD_17406"	0	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_17416"	0	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_17747"	0	0.00647	0.00298	0.00564	0.00257	0.41212	0.38166	NA	39.83779	23.6024
"ID=PCA_SD_17899"	0	0.00229	0.0019	0.00152	0.00152	0.86659	0.42976	NA	11.34564	11.79602
"ID=PCA_SD_17905"	0	0.00271	0.00264	0.00152	0.00152	1.33268	1.26063	NA	12.65349	10.8394
"ID=PCA_SD_18415"	0	0.00251	0.00053	0.00206	4e-04	0.54214	0.48543	NA	17.65247	7.10579
"ID=PCA_SD_18423"	0	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_18425"	0	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_18442"	0	0.00683	0.0023	0.00357	0.00318	2.46764	-0.72691	NA	43.70341	48.8456
"ID=PCA_SD_18455"	0.02	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_18563"	0	0.00062	0.00069	0.00086	0.00043	-0.4709	0.78254	0	13.32882	7.25607
"ID=PCA_SD_18569"	0	0.01062	0.00951	0.00515	0.00457	3.2529	3.24356	0.16888	113.44523	86.60815
"ID=PCA_SD_18631"	0	0.00297	0.00187	0.00258	0.00155	0.35213	0.40479	0.0292	29.10725	16.59912
"ID=PCA_SD_18698"	0.08	0	0.00044	NA	6e-04	NA	-0.4709	0	NA	12.2114
"ID=PCA_SD_18822"	0	0.00072	0.00034	0.00092	0.00069	-0.49068	-1.00494	NA	12.73179	11.52568
"ID=PCA_SD_18868"	0.27	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_18870"	0.08	0.00199	0.00142	0.00124	0.00062	1.30947	2.20633	NA	21.88473	13.11458
"ID=PCA_SD_18873"	0	0.00408	0.00428	0.0026	0.00309	1.70422	1.18373	NA	44.80459	48.9292
